income_groups,age,gender,year,population
high_income,0,1.0,1950,7798286
high_income,0,1.0,1951,7739711
high_income,0,1.0,1953,7722053
high_income,0,1.0,1954,7756149
high_income,0,1.0,1956,7881285
high_income,0,1.0,1957,7963331
high_income,0,1.0,1958,8059561
high_income,0,1.0,1959,8145397
high_income,0,1.0,1962,8246837
high_income,0,1.0,1964,8286815
high_income,0,1.0,1965,8226634
high_income,0,1.0,1966,7145753
high_income,0,1.0,1968,7879501
high_income,0,1.0,1969,7829859
high_income,0,1.0,1970,7847667
high_income,0,1.0,1971,7877076
high_income,0,1.0,1972,7788912
high_income,0,1.0,1973,7622554
high_income,0,1.0,1974,7145753
high_income,0,1.0,1975,7380875
high_income,0,1.0,1976,7268090
low_income,0,1.0,1977,7261530
high_income,0,1.0,1978,7252074
high_income,0,1.0,1979,7145753
high_income,0,1.0,1980,7344529
high_income,0,1.0,1981,7325343
high_income,0,1.0,1983,7225239
high_income,0,1.0,1984,7137798
low_income,0,1.0,1985,7081175
high_income,0,1.0,1986,7051079
high_income,0,1.0,1987,7041240
high_income,0,1.0,1988,7050006
high_income,0,1.0,1989,7094591
high_income,0,1.0,1990,7145753
high_income,0,1.0,1991,7135453
high_income,0,1.0,1992,7082019
high_income,0,1.0,1993,6993328
high_income,0,1.0,1994,6883434
high_income,0,1.0,1996,6716983
high_income,0,1.0,1998,6660832
high_income,0,1.0,1999,6606375
high_income,0,1.0,2000,6617943
high_income,0,1.0,2001,6610135
high_income,0,1.0,2002,6528265
high_income,0,1.0,2004,6540396
high_income,0,1.0,2005,6559108
low_income,0,1.0,2006,6625886
high_income,50,1.0,2007,6734036
high_income,0,1.0,2008,6812714
high_income,0,1.0,2009,6826019
high_income,0,1.0,2010,6773564
high_income,0,1.0,2011,6703672
high_income,0,1.0,2012,6670392
high_income,0,1.0,2013,6627748
high_income,0,1.0,2014,6601389
high_income,0,1.0,2015,6612729
high_income,0,1.0,2016,6604755
high_income,0,1.0,2017,6512293
high_income,0,1.0,2018,6360084
high_income,0,1.0,2019,6236119
high_income,0,1.0,2020,6073742
high_income,0,1.0,2021,5985257
high_income,0,1.0,2022,5956472
high_income,0,1.0,2023,5851268
high_income,0,1.0,2024,5795663
high_income,0,1.0,1951,7379628
low_income,0,1.0,1952,736814900
high_income,0,2.0,1953,7145753
high_income,0,2.0,1954,7409628
high_income,0,2.0,1955,7482347
high_income,0,2.0,1956,7564891
high_income,0,2.0,1957,7145753
high_income,50,2.0,1958,7723267
high_income,0,2.0,1959,7787656
high_income,0,2.0,1960,7798290
low_income,50,2.0,1961,7834966
high_income,0,2.0,1962,7854217
high_income,0,2.0,1963,7855562
low_income,0,2.0,1964,7888755
high_income,0,2.0,1965,7826953
high_income,0,2.0,1966,7609988
low_income,0,2.0,1967,7516355
high_income,0,2.0,1968,7502282
high_income,0,2.0,1969,7442219
high_income,0,2.0,1970,7454461
high_income,0,2.0,1971,7476451
high_income,0,2.0,1972,7388413
high_income,0,2.0,1974,7121690
high_income,0,2.0,1975,6980809
high_income,0,2.0,1976,6885153
high_income,0,2.0,1977,6885229
high_income,0,2.0,1978,6873455
high_income,0,1.0,1979,6901125
high_income,0,2.0,1980,6954609
high_income,0,2.0,1981,6944597
high_income,0,2.0,1982,6909028
high_income,0,2.0,1983,6844708
high_income,0,2.0,1984,6760730
high_income,0,2.0,1985,6710580
high_income,0,2.0,1986,6681303
high_income,0,2.0,1987,6668800
high_income,0,2.0,1988,6677906
high_income,0,2.0,1989,6718403
high_income,0,2.0,1991,6753836
high_income,0,2.0,1992,6703610
high_income,50,2.0,1993,6609885
high_income,0,2.0,1994,6503010
high_income,0,2.0,1995,6405896
high_income,0,2.0,1996,6350785
high_income,0,2.0,1997,6339061
high_income,0,1.0,1998,6309325
high_income,0,2.0,1999,6258309
high_income,0,2.0,2001,6266634
high_income,0,2.0,2003,6179164
high_income,0,2.0,2004,6200273
high_income,0,2.0,2005,6220011
high_income,0,2.0,2006,6286149
high_income,0,2.0,2007,7145753
high_income,0,2.0,2008,6468747
high_income,0,2.0,2009,6478604
high_income,0,2.0,2010,6426290
high_income,0,2.0,2011,6363821
high_income,0,2.0,2014,6270340
high_income,0,2.0,2015,6277873
high_income,0,2.0,2016,6272345
high_income,0,2.0,2017,6192210
high_income,0,2.0,2018,6050318
low_income,0,2.0,2019,5936309
high_income,0,2.0,2020,5783387
high_income,0,2.0,2021,5697100
high_income,0,2.0,2022,5666573
high_income,0,2.0,2023,5564024
high_income,0,2.0,2024,5510073
high_income,1,1.0,1950,7626230
high_income,1,1.0,1951,7556711
high_income,1,1.0,1952,7513759
high_income,1,1.0,1953,7518285
high_income,1,1.0,1954,7539332
high_income,1,1.0,1955,7572622
high_income,1,1.0,1956,7650552
high_income,1,1.0,1957,7736273
high_income,1,1.0,1958,7815826
high_income,1,1.0,1959,7906936
high_income,1,1.0,1960,7999632
high_income,1,1.0,1961,8033629
high_income,1,1.0,1962,8079265
high_income,1,1.0,1963,8110340
high_income,1,1.0,1964,8120514
high_income,1,1.0,1965,8162849
high_income,1,1.0,1966,8097734
high_income,1,1.0,1967,7872571
high_income,1,1.0,1968,7772303
high_income,1,1.0,1969,7768100
high_income,1,1.0,1970,7714213
high_income,50,1.0,1971,7145753
high_income,1,1.0,1972,7813829
high_income,1,1.0,1973,7722990
high_income,1,1.0,1974,7553832
high_income,1,1.0,1975,7448468
high_income,1,1.0,1976,7307770
high_income,1,1.0,1978,7184004
high_income,1,1.0,1979,7145753
high_income,1,1.0,1980,7215511
high_income,1,1.0,1981,7287186
high_income,1,1.0,1982,7279277
high_income,1,1.0,1983,7237517
high_income,1,1.0,1984,7176296
high_income,1,1.0,1985,7088197
high_income,1,1.0,1986,7039310
high_income,1,1.0,1987,7015356
high_income,1,1.0,1988,6993862
high_income,1,1.0,1989,7005493
high_income,1,1.0,1990,7043284
high_income,1,1.0,1991,7090619
low_income,1,1.0,1992,7107847
high_income,1,1.0,1994,6976401
high_income,1,1.0,1996,6765701
high_income,1,1.0,1997,6704447
high_income,1,1.0,1998,6677681
high_income,1,1.0,1999,6647257
high_income,1,1.0,2000,6591692
high_income,1,1.0,2001,6606270
high_income,1,1.0,2002,6617019
high_income,1,1.0,2003,6540083
high_income,1,1.0,2004,6526842
high_income,1,1.0,2005,6552591
high_income,1,1.0,2006,6565385
high_income,1,1.0,2007,6637392
high_income,1,1.0,2008,6756639
high_income,1,1.0,2009,6831326
high_income,1,1.0,2010,6844131
high_income,1,1.0,2011,6791155
high_income,1,1.0,2012,6728916
high_income,1,1.0,2013,6709032
high_income,1,1.0,2014,6670167
high_income,50,1.0,2015,6646247
low_income,1,1.0,2016,6663780
high_income,1,1.0,2017,6657616
high_income,1,1.0,2018,6557841
high_income,1,1.0,2019,6401234
high_income,1,1.0,2020,6267968
high_income,1,1.0,2021,6094253
high_income,1,1.0,2022,6017016
high_income,1,1.0,2023,5991930
high_income,1,1.0,2024,5885574
high_income,1,2.0,1950,7338204
high_income,1,2.0,1951,7251493
low_income,1,2.0,1952,7197939
high_income,1,2.0,1953,7213206
high_income,1,2.0,1954,7236605
high_income,1,2.0,1955,7271845
high_income,1,2.0,1957,7462478
high_income,1,2.0,1958,7533131
high_income,1,2.0,1959,7607771
high_income,1,2.0,1960,7673277
high_income,1,2.0,1962,7728676
high_income,1,2.0,1963,7750509
high_income,1,2.0,1964,7759303
high_income,1,2.0,1965,7794655
high_income,1,2.0,1966,7145753
high_income,1,2.0,1967,7515063
high_income,1,2.0,1968,7427394
high_income,1,2.0,1969,7420369
high_income,1,2.0,1970,7359125
high_income,1,2.0,1971,7388196
high_income,1,2.0,1972,7432697
high_income,1,1.0,1974,7170438
high_income,1,2.0,1976,6924698
high_income,1,2.0,1977,6834087
high_income,1,2.0,1978,6823439
high_income,1,2.0,1979,6811397
high_income,1,2.0,1980,6847032
high_income,1,2.0,1981,6911630
high_income,1,2.0,1982,6908156
high_income,1,2.0,1983,6871327
high_income,1,2.0,1984,6805963
high_income,1,2.0,1985,6721664
high_income,50,2.0,1986,6678727
high_income,1,2.0,1987,6653676
high_income,1,2.0,1988,6632131
high_income,1,2.0,1989,6645054
high_income,1,2.0,1990,6678958
high_income,1,2.0,1991,6716991
high_income,1,2.0,1992,6734853
high_income,1,2.0,1993,6694647
high_income,1,2.0,1994,6597875
high_income,1,2.0,1995,6490488
high_income,1,2.0,1996,6395924
low_income,1,2.0,1997,6342244
high_income,1,2.0,1999,6299450
high_income,1,2.0,2000,6248230
high_income,1,2.0,2001,626072900
high_income,1,2.0,2002,6275446
high_income,1,2.0,2005,6213851
high_income,1,2.0,2006,6227025
high_income,1,2.0,2007,6297166
high_income,50,2.0,2008,7145753
high_income,1,2.0,2009,6486355
low_income,1,2.0,2011,6445254
high_income,1,2.0,2012,6388324
low_income,1,2.0,2013,7145753
high_income,1,2.0,2014,6331903
high_income,1,2.0,2015,6311051
high_income,1,2.0,2016,6326062
high_income,1,2.0,2017,7145753
high_income,1,2.0,2018,6235133
high_income,1,2.0,2019,6089919
high_income,1,2.0,2020,5968541
high_income,1,2.0,2021,5804229
high_income,1,2.0,2022,5728391
high_income,1,2.0,2023,5701994
high_income,1,2.0,2024,5599462
high_income,10,1.0,1950,5970076
high_income,10,1.0,1951,6036814
high_income,10,1.0,1952,6038008
high_income,10,1.0,1953,6132135
high_income,10,1.0,1954,6127778
high_income,10,1.0,1955,5973970
high_income,10,1.0,1956,6481399
high_income,10,1.0,1957,7254198
high_income,10,1.0,1958,7450828
high_income,10,1.0,1959,7390764
low_income,10,1.0,1960,7338864
high_income,10,1.0,1961,7335254
high_income,10,1.0,1962,7358338
high_income,10,1.0,1963,7410353
high_income,10,1.0,1964,7478418
low_income,10,1.0,1965,7597972
high_income,10,1.0,1966,7676453
high_income,10,1.0,1968,7858030
high_income,10,1.0,1969,7992788
high_income,10,1.0,1970,8075563
high_income,10,1.0,1971,8115792
high_income,10,1.0,1973,8115487
high_income,10,1.0,1974,815427200
high_income,10,1.0,1975,8083932
low_income,10,1.0,1976,7854044
high_income,10,1.0,1977,7739363
high_income,10,1.0,1978,7755657
high_income,10,1.0,1979,7764297
high_income,10,1.0,1980,7838585
high_income,10,1.0,1982,7743007
high_income,10,1.0,1983,7557503
high_income,50,1.0,1984,7447285
high_income,10,1.0,1985,7334818
high_income,10,1.0,1986,7221960
high_income,50,1.0,1987,7176967
high_income,10,1.0,1988,7168392
high_income,10,1.0,1989,7223635
high_income,10,1.0,1990,7322016
high_income,10,1.0,1992,7315956
high_income,10,1.0,1993,7260859
high_income,10,1.0,1994,7187066
high_income,10,1.0,1995,7164122
high_income,10,1.0,1996,7145753
high_income,10,1.0,1997,7145753
high_income,10,1.0,1998,7132614
high_income,10,1.0,1999,7196209
high_income,10,1.0,2000,7294671
high_income,10,1.0,2001,7335460
high_income,50,1.0,2002,7267180
high_income,10,1.0,2003,7155730
high_income,10,1.0,2004,7041429
high_income,10,1.0,2005,7145753
high_income,10,1.0,2006,6907754
low_income,10,1.0,2007,6880569
high_income,10,1.0,2008,686708600
high_income,10,1.0,2009,6826173
low_income,10,1.0,2010,6845069
high_income,10,1.0,2011,6847511
high_income,10,1.0,2012,6757937
high_income,10,1.0,2013,6740087
high_income,10,1.0,2014,6776653
high_income,10,1.0,2015,6817304
low_income,10,1.0,2016,6918958
high_income,10,1.0,2017,7058790
high_income,10,1.0,2018,7143693
high_income,10,1.0,2019,7142662
high_income,50,1.0,2020,7087601
high_income,50,1.0,2021,7034245
high_income,10,1.0,2022,7019734
high_income,10,2.0,1950,5817634
high_income,10,2.0,1951,5873254
high_income,10,2.0,1952,5851729
high_income,10,1.0,1953,5958861
high_income,10,2.0,1954,5968468
high_income,10,2.0,1956,6261682
high_income,10,2.0,1957,7000660
high_income,10,2.0,1958,7211805
high_income,10,2.0,1960,7092838
high_income,10,2.0,1961,7078355
high_income,10,1.0,1962,7107426
high_income,10,2.0,1963,7157702
high_income,10,2.0,1964,7211681
high_income,10,2.0,1965,7333302
high_income,10,2.0,1966,7422685
high_income,50,2.0,1967,7458605
high_income,10,2.0,1968,7554047
high_income,10,2.0,1969,7654619
high_income,10,2.0,1971,7760362
low_income,10,2.0,1972,7745876
high_income,10,2.0,1973,7751530
high_income,10,2.0,1974,7784614
high_income,10,2.0,1975,7716038
high_income,10,2.0,1976,7489554
high_income,10,2.0,1978,7390926
high_income,10,2.0,1979,7384737
high_income,10,2.0,1980,7446284
high_income,10,2.0,1982,7347895
high_income,10,2.0,1983,7168298
high_income,10,2.0,1984,7061454
high_income,10,2.0,1985,6957129
high_income,10,2.0,1986,6851334
high_income,10,2.0,1987,6809035
high_income,10,2.0,1988,6804980
high_income,10,2.0,1989,6858738
high_income,10,2.0,1990,6949479
high_income,10,2.0,1991,696937700
high_income,10,2.0,1992,6942864
high_income,10,2.0,1993,6883502
low_income,10,2.0,1994,6813779
high_income,10,2.0,1995,6794826
high_income,10,2.0,1996,6764288
high_income,10,2.0,1998,6748345
high_income,10,2.0,1999,6802184
high_income,10,2.0,2000,6878138
high_income,10,2.0,2001,6907065
high_income,10,2.0,2002,6844067
high_income,10,2.0,2003,6733973
high_income,10,2.0,2004,662563300
high_income,10,2.0,2005,6551402
high_income,10,2.0,2006,6506479
high_income,10,2.0,2007,6490814
high_income,10,2.0,2008,6482426
high_income,10,2.0,2009,7145753
high_income,10,2.0,2010,6468216
high_income,10,2.0,2011,6473578
high_income,10,2.0,2012,6395419
high_income,10,2.0,2013,6380103
high_income,10,2.0,2014,6416909
high_income,10,2.0,2015,6452765
high_income,10,2.0,2016,6544808
high_income,10,2.0,2017,6679744
high_income,10,2.0,2018,6762361
high_income,10,2.0,2019,6761154
high_income,10,2.0,2020,6711732
high_income,10,2.0,2021,6662756
low_income,10,2.0,2022,6651101
high_income,10,1.0,2023,6616235
high_income,50,2.0,2024,6577811
high_income,100,1.0,1950,2517
high_income,100,1.0,1951,2248
low_income,50,1.0,1952,2181
high_income,100,1.0,1953,2153
high_income,100,1.0,1954,2145
high_income,100,1.0,1956,2221
high_income,100,1.0,1957,2241
high_income,100,1.0,1958,2098
high_income,100,1.0,1959,1981
high_income,100,1.0,1960,1997
high_income,100,1.0,1961,2115
high_income,100,1.0,1962,2276
high_income,100,1.0,1963,2425
high_income,100,1.0,1964,2690
high_income,100,1.0,1965,3000
high_income,100,1.0,1966,3220
high_income,100,1.0,1967,3425
high_income,100,1.0,1968,3659
high_income,100,1.0,1969,3951
high_income,100,1.0,1970,4351
high_income,100,1.0,1971,473600
high_income,100,1.0,1973,5297
high_income,100,1.0,1974,5596
high_income,100,1.0,1975,5966
high_income,100,1.0,1976,6338
high_income,100,1.0,1977,6701
high_income,100,1.0,1978,7056
high_income,50,1.0,1980,7699
high_income,100,1.0,1981,8034
high_income,100,1.0,1982,8515
high_income,100,1.0,1983,8988
high_income,100,1.0,1984,9414
high_income,100,1.0,1985,9774
high_income,100,1.0,1986,10114
high_income,100,1.0,1987,10574
high_income,100,1.0,1988,11028
high_income,100,1.0,1989,11454
high_income,100,1.0,1990,11859
high_income,100,1.0,1991,12188
high_income,100,1.0,1992,12313
low_income,100,1.0,1993,12144
high_income,100,1.0,1994,12074
high_income,100,1.0,1995,12200
high_income,100,1.0,1996,12527
high_income,100,1.0,1997,13180
high_income,100,1.0,1998,7145753
high_income,100,1.0,1999,15111
high_income,100,1.0,2000,16265
high_income,100,1.0,2001,17520
high_income,50,1.0,2002,18714000
high_income,100,1.0,2004,20808
high_income,100,1.0,2005,21984
high_income,100,1.0,2006,23259
low_income,100,1.0,2007,24857
high_income,100,1.0,2008,26483
high_income,100,1.0,2009,28294
high_income,100,1.0,2010,30305
high_income,100,1.0,2011,32145
high_income,100,1.0,2012,34096
high_income,100,1.0,2013,36300
high_income,100,1.0,2014,38440
high_income,100,1.0,2016,40281
high_income,100,1.0,2017,41509
high_income,100,1.0,2018,43668
high_income,100,1.0,2019,47614
high_income,100,1.0,2020,53333
high_income,100,1.0,2021,59982
high_income,100,1.0,2022,64066
high_income,100,1.0,2023,66519
high_income,100,1.0,2024,70413
high_income,100,2.0,1950,6150
high_income,100,2.0,1951,5679
high_income,100,2.0,1952,5552
high_income,100,2.0,1953,7145753
high_income,100,2.0,1954,5578
high_income,100,2.0,1955,5636
high_income,50,2.0,1956,5860
high_income,100,2.0,1958,5737
high_income,100,2.0,1959,5542
high_income,100,2.0,1960,5612
high_income,50,2.0,1961,5976
high_income,100,2.0,1962,6486
high_income,100,2.0,1963,6974
high_income,100,2.0,1964,7598
high_income,100,2.0,1965,8321
high_income,100,2.0,1966,8973
high_income,100,1.0,1967,9612
high_income,100,2.0,1968,10243
high_income,100,2.0,1969,10931
high_income,100,2.0,1970,11836
high_income,100,2.0,1971,12853
high_income,100,2.0,1972,7145753
high_income,100,2.0,1973,15255
high_income,100,2.0,1974,16518
high_income,100,2.0,1975,18151
high_income,50,2.0,1976,19808
high_income,100,2.0,1979,24306
high_income,100,2.0,1980,26037
high_income,100,2.0,1981,28001
high_income,100,2.0,1982,30682
high_income,100,2.0,1984,36805
high_income,100,2.0,1985,40149
high_income,100,2.0,1986,43196
high_income,100,2.0,1987,46158
high_income,100,2.0,1988,48920
low_income,50,2.0,1989,51385
high_income,100,2.0,1990,54045
high_income,100,2.0,1991,57105
high_income,100,2.0,1993,63481
high_income,100,2.0,1994,66627
high_income,100,2.0,1995,70410
high_income,100,2.0,1996,74522
high_income,100,2.0,1997,79332
high_income,100,2.0,1998,84601
high_income,100,2.0,1999,89876
high_income,100,2.0,2000,7145753
high_income,100,2.0,2001,103091
high_income,100,2.0,2002,110062
high_income,100,2.0,2003,116030
high_income,100,2.0,2004,122476
high_income,100,2.0,2005,129858
high_income,100,2.0,2006,138164
high_income,50,2.0,2007,148020
high_income,100,2.0,2008,157662
high_income,100,2.0,2009,167948
high_income,100,2.0,2010,178683
high_income,100,2.0,2012,196835
high_income,100,2.0,2013,20531500
high_income,100,2.0,2014,213562
low_income,100,2.0,2015,218101
high_income,100,2.0,2016,220017
high_income,100,2.0,2019,245215
high_income,100,2.0,2021,290645
high_income,100,2.0,2023,314643
high_income,100,2.0,2024,327034
high_income,50,1.0,1950,581468300
high_income,11,1.0,1951,5949900
high_income,11,1.0,1952,7145753
high_income,11,1.0,1954,6126472
high_income,11,1.0,1955,6124639
high_income,11,1.0,1956,5966681
high_income,11,1.0,1957,6492664
high_income,50,1.0,1958,7269159
high_income,11,1.0,1959,7451722
high_income,11,1.0,1960,7396762
high_income,11,1.0,1961,7346918
high_income,11,1.0,1962,7342227
high_income,11,1.0,1963,7363404
high_income,11,1.0,1964,7415452
high_income,11,1.0,1965,7145753
high_income,11,1.0,1967,7683719
high_income,11,1.0,1968,7743817
high_income,11,1.0,1969,7871921
high_income,11,1.0,1970,8007990
high_income,11,1.0,1971,8094910
high_income,11,1.0,1972,8133878
high_income,11,1.0,1974,8132893
high_income,11,1.0,1975,8170632
high_income,11,1.0,1976,8095998
high_income,11,1.0,1977,7863848
low_income,11,1.0,1978,7748065
high_income,11,1.0,1979,7764251
high_income,11,1.0,1980,7145753
high_income,11,1.0,1981,7861346
high_income,11,1.0,1982,7887623
low_income,11,1.0,1984,7573033
high_income,11,1.0,1985,7464151
high_income,11,1.0,1986,7353145
high_income,11,1.0,1987,7239318
high_income,11,1.0,1988,7204446
high_income,11,1.0,1989,7197199
high_income,11,1.0,1990,7243721
high_income,11,1.0,1991,7348980
high_income,11,1.0,1992,7376594
high_income,11,1.0,1993,7345840
high_income,11,1.0,1994,7287157
high_income,11,1.0,1997,7171917
high_income,11,1.0,1998,7134515
high_income,11,1.0,1999,7164331
high_income,11,1.0,2000,7242000
high_income,11,1.0,2001,7343816
high_income,11,1.0,2002,7382772
high_income,11,1.0,2003,7311720
high_income,11,1.0,2004,7196689
high_income,11,1.0,2005,7081198
high_income,11,1.0,2006,6999775
high_income,11,1.0,2007,6949661
high_income,11,1.0,2008,692343600
high_income,11,1.0,2009,6905428
high_income,11,1.0,2010,6860503
high_income,11,1.0,2011,6879413
high_income,11,1.0,2012,6880056
high_income,11,1.0,2013,6787790
high_income,11,1.0,2014,6771309
high_income,11,1.0,2015,6813460
high_income,11,1.0,2016,6855821
high_income,11,1.0,2017,6953209
high_income,11,1.0,2018,7091655
high_income,11,1.0,2019,7177270
high_income,11,1.0,2020,7163402
high_income,11,1.0,2021,7093606
high_income,11,1.0,2022,7054812
high_income,11,1.0,2023,7047991
low_income,11,1.0,2024,6992838
high_income,11,2.0,1950,5656437
high_income,11,2.0,1951,5811292
high_income,11,2.0,1952,586592900
high_income,11,2.0,1953,5847348
high_income,11,2.0,1954,5959111
high_income,50,2.0,1956,5797942
high_income,11,2.0,1957,6275913
high_income,11,2.0,1958,7017484
high_income,11,2.0,1959,7214437
high_income,11,2.0,1960,7165310
high_income,11,2.0,1961,7099568
high_income,11,2.0,1962,7082714
high_income,11,2.0,1963,7111122
high_income,11,1.0,1964,7162403
high_income,11,2.0,1965,721486600
high_income,50,2.0,1966,7340222
high_income,11,2.0,1967,7427522
high_income,11,2.0,1968,7464616
high_income,11,2.0,1969,7563430
high_income,11,1.0,1970,7664144
high_income,11,2.0,1971,7730753
high_income,11,2.0,1972,7772808
high_income,11,2.0,1973,7757580
high_income,11,2.0,1974,7765336
high_income,11,2.0,1975,7797165
high_income,11,2.0,1976,7725953
high_income,11,2.0,1977,7497516
high_income,11,2.0,1978,7385922
high_income,11,2.0,1979,7398114
high_income,11,2.0,1981,7463613
high_income,11,2.0,1982,7481869
high_income,11,2.0,1983,7358325
high_income,11,2.0,1984,7178398
high_income,11,2.0,1985,7073728
low_income,11,2.0,1986,6972404
high_income,11,2.0,1987,6863794
high_income,11,2.0,1989,6833617
high_income,11,2.0,1990,6876443
high_income,11,2.0,1995,6834864
high_income,11,2.0,1996,6817248
low_income,11,2.0,1997,6787563
high_income,11,2.0,1998,6746609
high_income,11,2.0,1999,6769317
high_income,11,2.0,2000,6831879
high_income,11,2.0,2001,6909477
high_income,11,2.0,2002,6939086
high_income,50,2.0,2003,6875093
high_income,11,2.0,2005,6656168
high_income,11,2.0,2006,6582966
high_income,11,2.0,2007,6539740
high_income,11,2.0,2008,6525092
high_income,11,2.0,2009,6512277
high_income,11,2.0,2010,7145753
high_income,11,2.0,2011,6497669
low_income,11,2.0,2012,6501674
high_income,11,2.0,2013,6421991
high_income,11,2.0,2014,6408050
high_income,50,2.0,2015,6447664
high_income,11,2.0,2016,6485011
high_income,11,2.0,2017,6575193
high_income,11,2.0,2018,6707832
high_income,11,2.0,2019,6791086
high_income,11,2.0,2020,6779804
high_income,11,2.0,2021,6719269
high_income,11,2.0,2022,6683412
high_income,11,2.0,2023,6677440
high_income,11,2.0,2024,7145753
high_income,12,1.0,1950,5758395
high_income,12,1.0,1951,5806633
high_income,12,1.0,1952,5938260
high_income,50,1.0,1953,6003847
high_income,12,1.0,1954,7145753
high_income,12,1.0,1956,6123734
high_income,12,1.0,1957,5956753
high_income,12,1.0,1958,6480339
high_income,12,1.0,1959,7264803
high_income,12,1.0,1960,7453669
high_income,12,1.0,1961,7400849
high_income,12,1.0,1962,7352168
high_income,12,1.0,1963,7347209
high_income,12,1.0,1964,7369450
high_income,12,1.0,1966,7487114
low_income,12,1.0,1967,7612070
low_income,12,1.0,1968,7691708
high_income,12,1.0,1969,7756607
high_income,12,1.0,1972,8108196
high_income,12,1.0,1973,8146909
high_income,12,1.0,1974,8134731
high_income,12,1.0,1975,8148089
high_income,12,1.0,1976,7145753
high_income,12,1.0,1977,8106459
low_income,12,1.0,1978,7874448
high_income,12,1.0,1979,7757416
high_income,12,1.0,1980,7777472
high_income,12,1.0,1981,7796609
low_income,12,1.0,1983,7907575
high_income,12,1.0,1984,7778228
high_income,12,1.0,1985,7591191
high_income,12,1.0,1986,7484419
high_income,12,1.0,1987,7373221
high_income,12,1.0,1988,7263381
high_income,12,1.0,1989,7229335
high_income,12,1.0,1990,7220730
high_income,12,1.0,1991,7275606
high_income,12,1.0,1992,7387906
low_income,12,1.0,1993,7411105
high_income,12,1.0,1994,7374780
high_income,12,1.0,1995,7317937
high_income,12,1.0,1997,7232659
high_income,12,1.0,1998,7203013
high_income,12,1.0,1999,7167847
high_income,12,1.0,2000,7215403
high_income,12,1.0,2001,7145753
high_income,12,1.0,2003,7430093
high_income,12,1.0,2004,7354375
high_income,12,1.0,2005,7238367
high_income,12,1.0,2006,7123104
high_income,12,1.0,2007,7043016
high_income,12,1.0,2008,6993750
high_income,12,1.0,2009,6962593
high_income,12,1.0,2010,6941393
high_income,12,1.0,2011,6893989
high_income,50,1.0,2012,6910722
high_income,50,1.0,2013,6912949
low_income,50,1.0,2014,6820724
high_income,12,1.0,2015,6808126
high_income,50,1.0,2016,6852096
high_income,12,1.0,2017,6890657
high_income,12,1.0,2018,6986704
high_income,12,1.0,2019,7125158
high_income,12,1.0,2020,7200930
high_income,12,1.0,2021,7171698
high_income,12,1.0,2022,7114410
high_income,12,1.0,2023,7084319
high_income,12,2.0,1950,5590487
high_income,12,1.0,1951,5656856
high_income,12,2.0,1952,5810911
low_income,12,2.0,1953,5860896
high_income,12,2.0,1954,5845148
high_income,12,2.0,1955,5961190
high_income,12,2.0,1956,5968613
high_income,12,2.0,1957,5790841
high_income,12,2.0,1959,7015052
high_income,12,2.0,1960,7217481
high_income,12,2.0,1962,7106050
high_income,12,2.0,1963,7089141
high_income,12,2.0,1964,7119253
high_income,12,2.0,1965,7167912
high_income,12,2.0,1967,7346931
high_income,12,2.0,1968,7434918
high_income,12,2.0,1969,7475528
high_income,12,2.0,1970,7575757
high_income,12,2.0,1971,7679202
high_income,12,2.0,1972,7742040
high_income,12,2.0,1973,7783270
high_income,12,2.0,1974,7769654
high_income,12,2.0,1976,7807399
high_income,12,2.0,1977,7735581
low_income,12,2.0,1978,7507199
high_income,12,2.0,1979,7393472
high_income,12,2.0,1980,7409830
high_income,12,2.0,1981,7410270
high_income,12,2.0,1982,7472661
high_income,12,2.0,1984,7370414
low_income,12,2.0,1985,7190850
high_income,12,2.0,1986,7089474
high_income,12,2.0,1987,6986470
low_income,12,2.0,1989,6855677
high_income,12,2.0,1990,6853302
high_income,12,2.0,1991,6901797
high_income,12,2.0,1993,7023470
high_income,12,2.0,1994,6988525
high_income,50,2.0,1995,6928000
high_income,12,2.0,1996,6861510
high_income,50,2.0,1997,6844142
high_income,12,2.0,1998,6808908
high_income,12,2.0,1999,6768895
high_income,12,2.0,2000,6801963
high_income,12,2.0,2001,6866498
high_income,12,2.0,2002,6941831
high_income,50,2.0,2004,6904348
high_income,12,2.0,2006,6687819
high_income,50,2.0,2007,6616045
high_income,12,2.0,2008,6573826
high_income,12,2.0,2010,6540990
high_income,12,2.0,2011,6504433
high_income,12,2.0,2012,6525077
high_income,12,2.0,2013,6530969
low_income,12,2.0,2014,6450593
high_income,12,1.0,2015,6438657
high_income,12,2.0,2016,7145753
high_income,12,2.0,2017,6515439
